Word,Language,IPA,English Translation,Sentiment_Compound
amına koyim,tr,amɯnakojim,Fuck you.,-0.5423
ibne,tr,ibne,Faggot,-0.6597
yedi ceddini siktiğimin oğlu,tr,jedidʒeddinisiktiɰiminoɰlu,you fucking son of a bitch,-0.5859
gerzek,tr,ɡeɾzek,idiot,-0.5106
sülaleni sikeyim,tr,sylalenisikejim,fuck your ancestors,-0.5423
göt siken,tr,ɡœtsiken,ass fucker,-0.8316
sik,tr,sik,fuck,-0.5423
zübük,tr,zybyk,Zubük,0.0
top,tr,top,top,0.2023
ağzına sıçayım,tr,aɰzɯnasɯtʃajɯm,fuck you,-0.5423
hırt,tr,hɯɾt,Hysterical,-0.0258
piç,tr,pitʃ,Bastard,-0.5423
çekirge götü,tr,tʃekiɾɡeɡœty,grasshopper ass,-0.5423
yarak,tr,jaɾak,cock,-0.1531
amına koyduğumun çocuğu,tr,amɯnakojduɰumuntʃodʒuɰu,motherfucker.,-0.6808
yarak kürek,tr,jaɾakkyɾek,cock shovel,-0.1531
ananı sikerim,tr,ananɯsikeɾim,fuck your mother,-0.5423
amcık,tr,amdʒɯk,cunt,-0.4939
fallik,tr,fallik,phallic,0.0
sürtük,tr,syɾtyk,slut,-0.5859
fahişe,tr,fahiʃe,prostitute,0.0
dalyarak,tr,daljaɾak,dalyarak,0.0
aşk meleği,tr,aʃkmeleɰi,angel of love,0.6369
yarrağı yedin,tr,jaɾɾaɰɯjedin,You're fucked,-0.6597
yordamını sikeyim,tr,joɾdamɯnɯsikejim,fuck your procedure,-0.5423
dalağını sikerim,tr,dalaɰɯnɯsikeɾim,fuck your spleen,-0.5423
göt lalesi,tr,ɡœtlalesi,ass tulip,-0.5423
sik kafalı,tr,sikkafalɯ,dickhead,-0.6249
budala,tr,budala,foolish,-0.2732
ananı bacını sikeyim,tr,ananɯbadʒɯnɯsikejim,fuck your mother and your sister,-0.5423
siki tuttun,tr,sikituttun,you're fucked,-0.6597
göt,tr,ɡœt,ass,-0.5423
göt veren,tr,ɡœtveɾen,ass giver,-0.2732
deyyus,tr,dejjus,idiot,-0.5106
yarrağı,tr,jaɾɾaɰɯ,his cock,-0.1531
gerizekalı,tr,ɡeɾizekalɯ,Idiot,-0.5106
dürzü,tr,dyɾzy,dür dürzü,0.0
sikimde değil,tr,sikimdedeɰil,I don't give a fuck,0.431
allah kahretsin,tr,allahkahɾetsin,God damn it,-0.1531
amına kodumun piçi,tr,amɯnakodumunpitʃi,you fucking bastard.,-0.5849
sırık,tr,sɯɾɯk,pole,0.0
öküz,tr,œkyz,ox,0.0
milli olmak,tr,milliolmak,being national,0.0
sikko,tr,sikko,sikko,0.0
dangalak,tr,danɡalak,douchebag,-0.6124
eşek,tr,eʃek,donkey,0.0
ebesini siktiğimin göt lalesi,tr,ebesinisiktiɰiminɡœtlalesi,you fucking asshole tulip,0.0
sıçarım böyle işe,tr,sɯtʃaɾɯmbœjleiʃe,Fuck this shit.,-0.7964
ağzını yüzünü siktiğimin pezevengi,tr,aɰzɯnɯjyzynysiktiɰiminpezevenɡi,You're a fucking pimp.,0.0
gelmişini geçmişini sikeyim,tr,ɡelmiʃiniɡetʃmiʃinisikejim,"Fuck you, fuck you, fuck you.",-0.8885
amını götünden sikerim,tr,amɯnɯɡœtyndensikeɾim,I'll fuck your cunt in the ass.,-0.8807
concha,es,kontʃa,shell,0.0
carajo,es,kaɾaxo,fuck,-0.5423
chilito,es,tʃilito,chilito,0.0
joderse,es,xodeɾse,fuck,-0.5423
costar un huevo,es,kostaɾunuebo,cost an egg,0.0
maldición,es,maldision,curse,-0.5423
mostacero,es,mostaseɾo,mostacero,0.0
tu madre es una estupida,es,tumadɾeesunaestupida,your mother is stupid,-0.5267
pichacorta,es,pitʃakoɾta,pichacorta,0.0
we,es,we,we,0.0
pinche puta,es,pintʃeputa,fucking whore,-0.6801
mamon,es,mamon,sucker,-0.5267
huey,es,uei,huey,0.0
"chinga tu madre, cabron",es,tʃinɡatumadɾekabɾon,"fuck your mother, motherfucker",-0.8442
cojón,es,koxon,cushion,0.0
remojar el cochayuyo,es,ɾemoxaɾelkotʃajuio,soaking the cochayuyo,0.0
chichi,es,tʃitʃi,chichi,0.0
wea,es,wea,wea,0.0
soplapollas,es,soplapoʝas,cocksucker,-0.6249
sucia,es,susia,dirty,-0.4404
hueva,es,ueba,roe,0.0
pargo,es,paɾɡo,snapper,0.0
te cogieron de pendejo,es,tekoxieɾondependexo,you were caught as an asshole,0.0
rabo,es,ɾabo,tail,0.0
me cago en el coño de tu madre,es,mekaɡoenelkoɲodetumadɾe,I shit on your mother's cunt,-0.7783
maricon,es,maɾikon,fag,-0.4767
hasta la madre,es,astalamadɾe,up to the mother,0.0
pinche idiota,es,pintʃeidjota,fucking idiot,-0.5563
putain,es,putain,putain,0.0
joto,es,xoto,joto,0.0
la cagada,es,lakaɡada,the screw-up,0.0
te voy a romper la cara a trompadas,es,teboiaɾompeɾlakaɾaatɾompadas,I'm going to beat your face to a pulp,0.0
cabrón,es,kabɾon,motherfucker,-0.6808
chingate,es,tʃinɡate,chingate,0.0
coño,es,koɲo,pussy,0.0
yo mataria tu,es,iomataɾjatu,I would kill your,-0.6908
maraca,es,maɾaka,maraca,0.0
peras,es,peɾas,pears,0.0
"no huyas, pendejo",es,noujaspendexo,"don't run away, asshole",0.0
tocarse las peras,es,tokaɾselaspeɾas,touching one's pears,0.0
pete,es,pete,pete,0.0
tarado,es,taɾado,moron,-0.4939
cara de monda,es,kaɾademonda,monkey face,0.0
comerán mierda,es,komeɾanmjeɾda,will eat shit,-0.5574
maraco,es,maɾako,maraco,0.0
plumífero,es,plumifeɾo,down jacket,0.0
mamaverga,es,mamabeɾɡa,mamaverga,0.0
cola,es,kola,tail,0.0
que te den por culo,es,ketedenpoɾkulo,fuck you,-0.5423
invertido,es,inbeɾtido,inverted,0.0
una pendejada,es,unapendexada,an asshole,0.0
mariquita,es,maɾikita,ladybug,0.0
maricona,es,maɾikona,fag,-0.4767
agilipollado,es,axilipoʝado,agilipollado,0.0
pirobo,es,piɾobo,pyrobo,0.0
playo,es,plajo,beach,0.0
parcha,es,paɾtʃa,patch,0.0
joder,es,xodeɾ,fuck,-0.5423
tontopollas,es,tontopoʝas,dumbass,-0.5574
jode a tu madre,es,xodeatumadɾe,fuck your mother,-0.5423
cojeme,es,koxeme,fuck me,-0.5423
pinche,es,pintʃe,pinche,0.0
deje de ser tan pendejo,es,dexedeseɾtanpendexo,stop being such an asshole,-0.296
la he jodido,es,laexodido,I screwed up,-0.4939
chingóna,es,tʃinɡona,chingóna,0.0
trompada,es,tɾompada,punch,0.0
salchicha,es,saltʃitʃa,sausage,0.0
las tetas,es,lastetas,tits,-0.2263
chuchamadre,es,tʃutʃamadɾe,chuchamadre,0.0
choto,es,tʃoto,choto,0.0
cucaracha,es,kukaɾatʃa,cockroach,0.0
maldito,es,maldito,damn,-0.4019
homo,es,omo,homo,0.0
negraco,es,neɡɾako,black,0.0
tortillera,es,toɾtiʝeɾa,dyke,0.0
caray,es,kaɾai,heck,0.0
ojete,es,oxete,eyelet,0.0
puta,es,puta,whore,-0.6486
pute,es,pute,whore,-0.6486
chupamedias,es,tʃupamedjas,sucker,-0.5267
chinga tu hermana,es,tʃinɡatueɾmana,fuck your sister,-0.5423
comemierda,es,komemjeɾda,shit eater,-0.5574
plon,es,plon,plon,0.0
julandrón,es,xulandɾon,julandron,0.0
me importa tres cojones,es,meimpoɾtatɾeskoxones,I don't give a damn,0.3089
tengo ganas,es,tenɡoɡanas,I feel like,0.3612
trolo,es,tɾolo,troll,0.0
julai,es,xulai,julai,0.0
vete a la chingada,es,betealatʃinɡada,go to hell,-0.6808
putta,es,putta,whore,-0.6486
panoche,es,panotʃe,panoche,0.0
vete al infierno,es,betealinfjeɾno,go to hell,-0.6808
hora,es,oɾa,time,0.0
cojon,es,koxon,cojon,0.0
cara de panocha,es,kaɾadepanotʃa,panocha face,0.0
sarasa,es,saɾasa,sarasa,0.0
chotera,es,tʃoteɾa,cholera,0.0
eres una marica,es,eɾesunamaɾika,you are a faggot,-0.6597
vete a la mierda,es,betealamjeɾda,go to hell,-0.6808
wa,es,wa,wa,0.0
cojonazos,es,koxonasos,cojonazos,0.0
valió madre,es,baljomadɾe,it was worth it,0.2263
chorra,es,tʃora,chorra,0.0
mamapinga,es,mamapinɡa,mamapinga,0.0
bolas,es,bolas,balls,0.0
mojon,es,moxon,mojon,0.0
mamagüevos,es,mamaɡwebos,mamagüevos,0.0
fundío,es,fundjo,melted,0.0
nabo,es,nabo,turnip,0.0
guarra,es,ɡwara,slut,-0.5859
chingado,es,tʃinɡado,fuck,-0.5423
come mierda,es,komemjeɾda,eats shit,-0.5574
tocar los cojones,es,tokaɾloskoxones,busting my balls,0.0
me cago en la virgen,es,mekaɡoenlabiɾxen,holy shit,-0.5574
mamona,es,mamona,mamona,0.0
cabron,es,kabɾon,motherfucker,-0.6808
mamavergas,es,mamabeɾɡas,mamavergas,0.0
tonta,es,tonta,fool,-0.4404
cueco,es,kweko,cueco,0.0
jodido,es,xodido,fucking,0.0
conchatumadre,es,kontʃatumadɾe,conchatumadre,0.0
se la metio,es,selametjo,he put it in,0.0
le quedo una chimba,es,lekedounatʃimba,it was a chimba,0.0
gilipollas,es,xilipoʝas,asshole,0.0
pelos de los huevos,es,pelosdelosuebos,egg hairs,0.0
mal bicho,es,malbitʃo,bad bug,-0.5423
metete un palo por el culo,es,meteteunpalopoɾelkulo,shove a stick up your ass,-0.5423
me cago en la leche,es,mekaɡoenlaletʃe,FUCK MY FUCK!,-0.807
verga dura,es,beɾɡaduɾa,hard cock,-0.25
me importa un huevo,es,meimpoɾtaunuebo,I don't give a damn,0.3089
huevada,es,uebada,huevada,0.0
cipote,es,sipote,cipote,0.0
chupame la polla,es,tʃupamelapoʝa,suck my dick,-0.7351
hijo de la chingada,es,ʝxodelatʃinɡada,son of a bitch,-0.5859
comecaca,es,komekaka,comecaca,0.0
besame el culo,es,besameelkulo,kiss my ass,-0.1779
zunga,es,sunɡa,zunga,0.0
estás puto,es,estasputo,you're fucking,0.0
hijo de mil putas,es,ʝxodemilputas,son of a thousand whores,-0.6124
cara de pito,es,kaɾadepito,dick face,-0.5106
bombero,es,bombeɾo,firefighter,0.0
chotaco,es,tʃotako,chotaco,0.0
desviado,es,desbjado,deviated,0.0
cagaste y saltaste en la caca,es,kaɡasteisaltasteenlakaka,you pooped and jumped in the poop,0.0
tu madre es una puta,es,tumadɾeesunaputa,your mother is a whore,-0.6486
métetelo por el culo,es,metetelopoɾelkulo,shove it up your ass,-0.5423
rosquete,es,ɾoskete,rosquete,0.0
caracho,es,kaɾatʃo,caracho,0.0
negrata,es,neɡɾata,negrata,0.0
me encanta tu culo,es,meenkantatukulo,I love your ass,0.1779
garchar,es,ɡaɾtʃaɾ,garchar,0.0
madrear,es,madɾeaɾ,madrear,0.0
tirate a un poso,es,tiɾateaunposo,jump into a well,0.2732
una pendeja,es,unapendexa,an asshole,0.0
me cago,es,mekaɡo,I shit,-0.5574
de cojones,es,dekoxones,fucking,0.0
puto,es,puto,fucking,0.0
pinga,es,pinɡa,pinga,0.0
trucha,es,tɾutʃa,trout,0.0
calientapollas,es,kaljentapoʝas,cock warmer,0.1531
jupa de pollo,es,xupadepoʝo,chicken jupa,0.0
mondá,es,monda,mondá,0.0
basura,es,basuɾa,garbage,0.0
fundillo,es,fundiʝo,sleeve,0.0
valió verga,es,baljobeɾɡa,worthless,-0.4404
cundango,es,kundanɡo,cundango,0.0
wey,es,wei,wey,0.0
gonorrea,es,ɡonorea,gonorrhea,0.0
pedazo,es,pedaso,piece,0.0
madrazo,es,madɾaso,madrazo,0.0
banana,es,banana,banana,0.0
porongo,es,poɾonɡo,porongo,0.0
me importa un cojón,es,meimpoɾtaunkoxon,I don't give a damn,0.3089
macha,es,matʃa,macha,0.0
no me jodas,es,nomexodas,don't fuck with me,0.431
manflor,es,manfloɾ,manflor,0.0
trabuco,es,tɾabuko,blunderbuss,0.0
por huevos,es,poɾuebos,for eggs,0.0
comilón,es,komilon,glutton,0.0
zorra,es,sora,bitch,-0.5859
todo el jupa de poll,es,todoelxupadepoʝ,all the jupa de poll,0.0
triple-hijueputa,es,tɾipleʝxweputa,triple-hijueputa,0.0
tocarse los cojones,es,tokaɾseloskoxones,busting a nut,0.0
poronga,es,poɾonɡa,poronga,0.0
cocoon,es,kokoon,cocoon,0.0
tocarse los huevos,es,tokaɾselosuebos,touching your balls,0.0
verga muy grande,es,beɾɡamuiɡɾande,very large cock,-0.2212
raro,es,ɾaɾo,rare,0.0
chingón,es,tʃinɡon,chingón,0.0
no joda,es,noxoda,no joda,-0.296
follar,es,foʝaɾ,fuck,-0.5423
soplanucas,es,soplanukas,soplanucas,0.0
negrito,es,neɡɾito,negrito,0.0
puttus,es,puttus,puttus,0.0
verga,es,beɾɡa,cock,-0.1531
chingar,es,tʃinɡaɾ,chingar,0.0
fran,es,fɾan,fran,0.0
gilipolla,es,xilipoʝa,asshole,0.0
caquita de la vaquita,es,kakitadelabakita,cow patty,0.0
me cago en ti,es,mekaɡoenti,I shit on you,-0.5574
kieta el stupido elephante,es,kjetaelstupidoelepante,kieta the stupid elephant,-0.5267
knave,es,knabe,knave,0.0
güey,es,ɡwei,güey,0.0
bete a la verga,es,betealabeɾɡa,go to hell,-0.6808
orto,es,oɾto,ortho,0.0
payaso,es,pajaso,clown,0.0
cabro,es,kabɾo,goat,0.0
loco,es,loko,crazy,-0.34
capullo,es,kapuʝo,cocoon,0.0
mariconzón,es,maɾikonson,faggot,-0.6597
mierda de toro,es,mjeɾdadetoɾo,bull shit,-0.5574
chula,es,tʃula,chula,0.0
echar madrazos,es,etʃaɾmadɾasos,punching,0.0
tocarse las pelotas,es,tokaɾselaspelotas,busting a nut,0.0
tragasables,es,tɾaɡasables,swallowable,0.0
afeminado,es,afeminado,effeminate,0.0
mierda,es,mjeɾda,shit,-0.5574
loca,es,loka,madwoman,0.0
hijueputa,es,ʝxweputa,hijueputa,0.0
pinnus,es,pinnus,pinnus,0.0
tonto,es,tonto,fool,-0.4404
collons,es,koʝons,collons,0.0
buey,es,bwei,ox,0.0
culear,es,kuleaɾ,snoring,0.0
qué chingados es eso,es,ketʃinɡadoseseso,what the fuck is that,-0.5423
puñal,es,puɲal,dagger,0.0
conchetumadre,es,kontʃetumadɾe,conchetumadre,0.0
ahueonao,es,aweonao,ahueonao,0.0
garcha,es,ɡaɾtʃa,garcha,0.0
pelotudo,es,pelotudo,asshole,0.0
miércoles,es,mjeɾkoles,Wednesday,0.0
le metio la verga,es,lemetjolabeɾɡa,he stuck his dick in it,-0.6486
jode tu madre ayer noche,es,xodetumadɾeajeɾnotʃe,fuck your mother last night,-0.5423
cacorro,es,kakoro,cacorro,0.0
percanta,es,peɾkanta,percanta,0.0
ahuevoneado,es,aweboneado,dumbed down,-0.34
chinga tu madre,es,tʃinɡatumadɾe,fuck your mother,-0.5423
perra,es,pera,bitch,-0.5859
chorizo,es,tʃoɾiso,chorizo,0.0
palanca de cambios,es,palankadekambjos,gearshift lever,0.0
caca,es,kaka,poop,0.0
culero,es,kuleɾo,asshole,0.0
joystick,es,xoistikk,joystick,0.1779
pájaro,es,paxaɾo,bird,0.0
hueco,es,ueko,hollow,0.0
tu eres más feo que el culo de un mono,es,tueɾesmasfeokeelkulodeunmono,You're uglier than a monkey's ass.,-0.7717
yo cago en la leche de tu puta madre,es,iokaɡoenlaletʃedetuputamadɾe,I shit in the milk of your mother's whore milk,-0.836
estás cabrón,es,estaskabɾon,you're a bastard,-0.5423
atontado,es,atontado,stunned,-0.1027
chingada,es,tʃinɡada,chingada,0.0
chingona,es,tʃinɡona,chingona,0.0
"uy, que care-chimba",es,uikekaɾetʃimba,"uy, what a care-chimba",0.0
chulo,es,tʃulo,pimp,0.0
bolson,es,bolson,bolson,0.0
chingada madre,es,tʃinɡadamadɾe,motherfucker,-0.6808
mamagüevo,es,mamaɡwebo,mamagüevo,0.0
tu madre es una puta fea,es,tumadɾeesunaputafea,your mother is an ugly whore,-0.8225
tragaleche,es,tɾaɡaletʃe,tragaleche,0.0
vaina,es,baina,pod,0.0
gilipollez,es,xilipoʝes,bullshit,-0.5859
coger,es,koxeɾ,catch,0.0
chota,es,tʃota,chota,0.0
muerdealmohadas,es,mweɾdealmoadas,pillowbiter,0.0
cara de mi huevo izquierdo,es,kaɾademiueboiskjeɾdo,my left egg face,0.0
puttana,es,puttana,puttana,0.0
cockroach,es,kokkɾoatʃ,cockroach,0.0
chivo,es,tʃibo,goat,0.0
andate a la chucha,es,andatealatʃutʃa,go to hell,-0.6808
culito,es,kulito,ass,-0.5423
tocar los huevos,es,tokaɾlosuebos,touching the eggs,0.0
"qué maricón de mierda, eh?",es,kemaɾikondemjeɾdae,"what a fucking faggot, eh?",-0.6901
poto,es,poto,poto,0.0
polla,es,poʝa,cock,-0.1531
bujarra,es,buxara,bujarra,0.0
bugarrón,es,buɡaron,bugarrón,0.0
bombilla de cuero,es,bombiʝadekweɾo,leather bulb,0.0
maricueca,es,maɾikweka,maricueca,0.0
tu madre es muy gato y feo,es,tumadɾeesmuiɡatoifeo,your mother is very cat-like and ugly,-0.552
me cago en la hostia,es,mekaɡoenlaostja,FUCKING FUCKING HOSTAGE,0.0
soy la verga andando,es,soilabeɾɡaandando,I'm the walking dick,-0.5106
"mano, eres tremendamente maricón",es,manoeɾestɾemendamentemaɾikon,"mano, you are a tremendous faggot",-0.6901
puta barrata,es,putabarata,fucking barrata,0.0
el orto,es,eloɾto,the ortho,0.0
"chinga tu madre, cabrón",es,tʃinɡatumadɾekabɾon,"fuck your mother, motherfucker",-0.8442
puta madre,es,putamadɾe,motherfucker,-0.6808
boludo,es,boludo,boludo,0.0
so',es,so,so,0.0
está muy pinche,es,estamuipintʃe,it is very pinchy,0.0
coño,es,koɲo,pussy,0.0
huevos,es,uebos,eggs,0.0
te voy a meter la verga,es,teboiameteɾlabeɾɡa,I'm going to stick my dick in you,-0.5106
mira qué cabrón,es,miɾakekabɾon,look what a bastard,-0.5423
desgraciado,es,desɡɾasiado,wretched,0.0
colizón,es,kolison,colizon,0.0
marimacha,es,maɾimatʃa,marimacha,0.0
carajito,es,kaɾaxito,carajito,0.0
bambaro,es,bambaɾo,bambaro,0.0
roscón,es,ɾoskon,roscón,0.0
mierda de toros,es,mjeɾdadetoɾos,bull shit,-0.5574
cochón,es,kotʃon,cochon,0.0
plumón,es,plumon,down,0.0
culiao,es,kuljao,culiao,0.0
manflora,es,manfloɾa,manflora,0.0
chichis,es,tʃitʃis,chichis,0.0
hueles a mierda,es,uelesamjeɾda,you smell like shit,-0.2732
vete al carajo,es,betealkaɾaxo,go to hell,-0.6808
raghead,es,ɾaɡead,raghead,0.0
camel jockey,es,kamelxokkei,camel jockey,0.0
chingon,es,tʃinɡon,chingon,0.0
chotar,es,tʃotaɾ,chotar,0.0
pendo,es,pendo,pendo,0.0
chocha,es,tʃotʃa,chocha,0.0
ahuevado,es,awebado,hollowed out,0.0
estúpido,es,estupido,stupid,-0.5267
bujarrón,es,buxaron,bujarron,0.0
pendejo,es,pendexo,asshole,0.0
bufarrón,es,bufaron,buffoon,0.0
me cago en tu puta madre,es,mekaɡoentuputamadɾe,I fuck your motherfuckin' motherfucker,-0.8442
parchita,es,paɾtʃita,parchita,0.0
culo,es,kulo,ass,-0.5423
bicho,es,bitʃo,bug,0.0
yo soy cabrón,es,iosoikabɾon,I am a bastard,-0.5423
pinche güey,es,pintʃeɡwei,pinche güey,0.0
panocha,es,panotʃa,panocha,0.0
maricón,es,maɾikon,fag,-0.4767
marica,es,maɾika,fag,-0.4767
perro,es,pero,dog,0.0
bombilla,es,bombiʝa,bulb,0.0
culo peludo,es,kulopeludo,hairy ass,-0.5423
que te jodan,es,ketexodan,fuck you,-0.5423
chapero,es,tʃapeɾo,hustler,0.0
huevon,es,uebon,huevon,0.0
madre,es,madɾe,mother,0.0
jack,es,xakk,jack,0.0
calójili,es,kaloxili,calójili,0.0
chingados,es,tʃinɡados,fuckers,-0.5994
tu hermano no tiene la ingle,es,tueɾmanonotjenelainɡle,your brother does not have a groin,0.0
me cago en dios,es,mekaɡoendjos,FUCK MY GOD,-0.34
cojete mi suegra,es,koxetemisweɡɾa,fuck my mother-in-law,-0.5423
tocar los pelotas,es,tokaɾlospelotas,busting balls,0.0
burro,es,buro,donkey,0.0
albondigas,es,albondiɡas,meatballs,0.0
el ojete,es,eloxete,the eyelet,0.0
mayate,es,majate,mayate,0.0
pulla,es,puʝa,pulla,0.0
hijo de puta,es,ʝxodeputa,son of a bitch,-0.5859
bastardo,es,bastaɾdo,bastard,-0.5423
"vení, oleme la chucha",es,beniolemelatʃutʃa,"come on, smell my cock",-0.1531
cuca,es,kuka,cuca,0.0
cagar,es,kaɡaɾ,shit,-0.5574
partido,es,paɾtido,party,0.4019
chocho,es,tʃotʃo,pussy,0.0
mariposa,es,maɾiposa,butterfly,0.0
fleto,es,fleto,freight,0.0
fresa,es,fɾesa,strawberry,0.0
putus,es,putus,putus,0.0
pija,es,pixa,dick,-0.5106
rarito,es,ɾaɾito,rarito,0.0
imbécil,es,imbesil,imbecile,-0.4939
pelotas,es,pelotas,balls,0.0
chucha,es,tʃutʃa,chucha,0.0
cojones,es,koxones,cojones,0.0
homogay,es,omoɡai,homogay,0.0
que comemierderia,es,kekomemjeɾdeɾja,what a piece of shit,-0.5574
chucha de tu madre,es,tʃutʃadetumadɾe,motherfucker,-0.6808
way,es,wai,way,0.0
chupamela,es,tʃupamela,suck my dick,-0.7351
mamagüevazo,es,mamaɡwebaso,mamagüevazo,0.0
tienes ganas,es,tjenesɡanas,you feel like,0.3612
idiota,es,idjota,idiot,-0.5106
